Date,Impressions
10/1/19,2909
11/1/19,9209
12/1/19,6356
1/1/20,7186
2/1/20,7107
3/1/20,7279
4/1/20,7575
5/1/20,6375
6/1/20,8200
7/1/20,6365
8/1/20,8411
9/1/20,8315
10/1/20,8150
11/1/20,8050
12/1/20,7772
1/1/21,9015
2/1/21,8384
3/1/21,8384
4/1/21,7030
5/1/21,7469
6/1/21,7314
7/1/21,7157
8/1/21,7824
9/1/21,6665
10/1/21,5968
11/1/21,5976
12/1/21,7285
1/1/22,8155
2/1/22,6705
3/1/22,6400
4/1/22,5800
5/1/22,5152
6/1/22,4720
7/1/22,5279
8/1/22,5109
9/1/22,4041
10/1/22,4505
11/1/22,4166
12/1/22,4642
1/1/23,5054
2/1/23,4455
3/1/23,4190
4/1/23,4525
5/1/23,3450
6/1/23,4236
7/1/23,3472
8/1/23,3373
9/1/23,3595
10/1/23,3694
11/1/23,3448
12/1/23,4654
1/1/24,3202
2/1/24,3645
3/1/24,3328
4/1/24,2680
5/1/24,3325
6/1/24,3526
7/1/24,4973
8/1/24,4351
9/1/24,4439
10/1/24,3545