Date,Updates
10/1/19,0
11/1/19,0
12/1/19,0
1/1/20,0
2/1/20,0
3/1/20,0
4/1/20,0
5/1/20,0
6/1/20,0
7/1/20,0
8/1/20,0
9/1/20,0
10/1/20,0
11/1/20,0
12/1/20,0
1/1/21,0
2/1/21,0
3/1/21,0
4/1/21,0
5/1/21,0
6/1/21,0
7/1/21,0
8/1/21,0
9/1/21,0
10/1/21,0
11/1/21,0
12/1/21,0
1/1/22,0
2/1/22,0
3/1/22,0
4/1/22,0
5/1/22,0
6/1/22,0
7/1/22,0
8/1/22,0
9/1/22,0
10/1/22,0
11/1/22,0
12/1/22,0
1/1/23,0
2/1/23,0
3/1/23,0
4/1/23,0
5/1/23,0
6/1/23,0
7/1/23,0
8/1/23,0
9/1/23,0
10/1/23,0
11/1/23,0
12/1/23,0
1/1/24,0
2/1/24,1
3/1/24,0
4/1/24,0
5/1/24,0
6/1/24,0
7/1/24,0
8/1/24,0
9/1/24,0
10/1/24,0