Date,Deletions
10/1/19,0
11/1/19,2
12/1/19,1
1/1/20,2
2/1/20,3
3/1/20,2
4/1/20,3
5/1/20,3
6/1/20,2
7/1/20,2
8/1/20,2
9/1/20,4
10/1/20,4
11/1/20,5
12/1/20,7
1/1/21,3
2/1/21,4
3/1/21,2
4/1/21,4
5/1/21,4
6/1/21,5
7/1/21,1
8/1/21,4
9/1/21,4
10/1/21,3
11/1/21,4
12/1/21,7
1/1/22,1
2/1/22,4
3/1/22,5
4/1/22,4
5/1/22,4
6/1/22,4
7/1/22,5
8/1/22,2
9/1/22,5
10/1/22,4
11/1/22,2
12/1/22,3
1/1/23,4
2/1/23,1
3/1/23,2
4/1/23,0
5/1/23,8
6/1/23,3
7/1/23,2
8/1/23,0
9/1/23,2
10/1/23,2
11/1/23,3
12/1/23,0
1/1/24,1
2/1/24,1
3/1/24,2
4/1/24,2
5/1/24,0
6/1/24,0
7/1/24,0
8/1/24,0
9/1/24,3
10/1/24,2